0.000000000000000000e+00 1.683919100000000058e-01 0.000000000000000000e+00
1.000000000000000000e+01 1.603174168325682547e-01 1.018644254829568774e-01
2.000000000000000000e+01 1.684077466248482258e-01 1.226708301503282861e-01
3.000000000000000000e+01 1.775249148389217990e-01 1.363831243734913712e-01
4.000000000000000000e+01 1.769517561626793856e-01 1.343794302591210799e-01
5.000000000000000000e+01 1.925936289784946076e-01 1.504678798030215647e-01
6.000000000000000000e+01 1.988071136259541849e-01 1.526809046105287171e-01
7.000000000000000000e+01 2.036157343230403927e-01 1.574531359866243319e-01
8.000000000000000000e+01 1.893694165458937317e-01 1.505799445126204950e-01
9.000000000000000000e+01 1.464415630496453957e-01 1.200866716757085922e-01
